,filename,column,avr,var,std,skew,kern,logviola,rollingvarmax,DFA,rollingvarmean,violmax,violmean,maxpeaksqt,Unnamed: 14,L
302,5852.csv,millinletTemp,851.2072876571722,3.5170798389466817,1.875387916924571,0.3353192820771105,-0.281335438718437,0.0203786068642248,4.13477848383183,0.8874227018595173,2.500551159543276,5.712016826213605,1.5796064506203955,2.997722365021088,,a
303,5853.csv,millinletTemp,852.3732194871794,3.3759886119822955,1.8373863534875552,0.0063808507325854,-0.3252006536983183,0.0199492112200323,4.413422807979477,0.8942715637452562,2.7893874197723147,4.787524039505477,1.5479101342683823,1.9199146241527687,,a
304,5854.csv,millinletTemp,852.3741328045036,3.443790120827859,1.8557451659179551,-0.2100772840114506,-0.4341070185213729,0.0201739171596881,6.252149560495326,0.9885020714906856,3.0653400683817336,5.1858934044899625,1.607144818742518,1.7899048514064235,,a
305,5855.csv,millinletTemp,853.0056186700767,3.133245971459988,1.770097729352814,-0.1376997554171976,0.07776057554657,0.0192297628574075,5.836833377924331,1.0119702996092097,2.630915810734759,5.3706615564921565,1.4548870784410206,1.4690158884584632,,a
306,5856.csv,millinletTemp,853.073171758665,3.171640017486763,1.7809098847181355,0.0940304039014335,-0.3895216186274903,0.0193036510746506,4.375235729091767,0.8979353607768626,2.900425204991819,4.963120207631544,1.5250582879863137,1.837311515519577,,a
307,5857.csv,millinletTemp,852.5161039692701,3.1883822079376296,1.7856041576837878,-0.0913097241319541,0.1564176009080826,0.0193976830884339,6.04804351839301,0.8939396506493281,2.916734326837419,5.752830173555077,1.5108229387589234,1.6779105468361788,,a
308,5858.csv,millinletTemp,852.3503646847771,3.1862148608186547,1.7849971598909211,-0.262112857729848,0.0675156671647485,0.0193914291622847,6.048043518393166,0.9420102599374972,2.9173906572301083,5.793699994213633,1.4882885554109584,1.7275994477888053,,a
309,5859.csv,millinletTemp,852.27470398773,2.841729085455841,1.6857428883005383,0.3873787984691755,0.6215050003205684,0.0183264461103162,6.1973058294341,0.9023330773129198,2.543346483476867,6.9825077120748045,1.4085955590170818,3.55393993787133,,a
310,5860.csv,millinletTemp,852.4685173834665,3.344571291493196,1.828816910325688,0.2521200367197634,-0.1904346557442271,0.0198050860441087,7.554103822747183,0.9821013239516836,2.9236756893953277,4.960652453296998,1.5321747386480609,2.0041447362654528,,a
311,5861.csv,millinletTemp,852.3665188241362,3.6531251880644384,1.9113150415523965,0.1421801003898372,0.0494982270225672,0.0206903273058103,7.554103822742478,0.9361331346798616,3.3195433231974607,5.121243901321105,1.57954763778433,2.017696346401912,,a
